old_url,new_slug,hero_image,published_at,author
https://heartland.io/sustainability-news/sustainable-plastics-for-industrial-packaging-crates-pallets/,sustainable-plastics-for-industrial-packaging-crates-pallets,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/sustainable-supply-chain-for-automotive/,sustainable-supply-chain-for-automotive,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/tariffs-are-shifting-buying-habits-to-localization-similar-to-covid/,tariffs-are-shifting-buying-habits-to-localization-similar-to-covid,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-benefits-of-hemp-reinforced-polypropylene-for-automotive/,the-benefits-of-hemp-reinforced-polypropylene-for-automotive,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-case-for-minority-owned-farms-in-america/,the-case-for-minority-owned-farms-in-america,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-chief-sustainability-officer-cso/,the-chief-sustainability-officer-cso,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-dark-side-of-wood-pallets-for-international-shipments/,the-dark-side-of-wood-pallets-for-international-shipments,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-difference-between-industrial-hemp-cbd-and-cannabis/,the-difference-between-industrial-hemp-cbd-and-cannabis,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-foundation-of-the-graphene-revolution-is-bio-based-materials/,the-foundation-of-the-graphene-revolution-is-bio-based-materials,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-future-of-materials-innovation/,the-future-of-materials-innovation,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-green-economy-will-prosper-through-americas-agricultural-engine/,the-green-economy-will-prosper-through-americas-agricultural-engine,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-manufacturers-guide-to-sustainable-materials/,the-manufacturers-guide-to-sustainable-materials,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-new-sustainable-leadership-era-why-its-here-to-stay/,the-new-sustainable-leadership-era-why-its-here-to-stay,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-road-to-net-zero-paving-the-way-for-a-sustainable-future/,the-road-to-net-zero-paving-the-way-for-a-sustainable-future,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-scope-3-carbon-footprint-of-a-plastic-automotive-part/,the-scope-3-carbon-footprint-of-a-plastic-automotive-part,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-strengths-and-weaknesses-of-industrial-hemps-weight/,the-strengths-and-weaknesses-of-industrial-hemps-weight,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-time-for-new-materials-in-manufacturing-is-now/,the-time-for-new-materials-in-manufacturing-is-now,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-ultimate-guide-to-plastics-of-the-future-part-1/,the-ultimate-guide-to-plastics-of-the-future-part-1,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-ultimate-guide-to-plastics-of-the-future-part-10-plastics-sustainability-and-esg-mandates/,the-ultimate-guide-to-plastics-of-the-future-part-10-plastics-sustainability-and-esg-mandates,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-ultimate-guide-to-plastics-of-the-future-part-11-plastics-innovation-materials-innovation/,the-ultimate-guide-to-plastics-of-the-future-part-11-plastics-innovation-materials-innovation,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/the-ultimate-guide-to-plastics-of-the-future-part-12-the-bridge-between-capitalism-and-sustainability/,the-ultimate-guide-to-plastics-of-the-future-part-12-the-bridge-between-capitalism-and-sustainability,hero.svg,2024-06-01,"Heartland Industries"
